ID,gCF,gCF_N,gDF1,gDF1_N,gDF2,gDF2_N,gDFP,gDFP_N,gN,sCF,sCF_N,sDF1,sDF1_N,sDF2,sDF2_N,sN,posterior_prob,branchlength,chrom,Node_17,Node_18,Node_19,Pop_Nodes
4,31.61,183,27.12,157,0.69,4,40.59,235,579,62.98,429.98,28.76,193.52,8.26,55.76,679.26,100,0.00107274,mi8,FALSE,FALSE,FALSE,FALSE
5,36.44,211,5.01,29,5.7,33,52.85,306,579,74.48,329.23,11.6,50.29,13.92,60.66,440.18,100,0.00038724,mi8,FALSE,FALSE,FALSE,FALSE
6,71.16,412,0.86,5,0.35,2,27.63,160,579,85.95,2118.82,7.8,174.16,6.25,144.7,2437.68,100,0.00121226,mi8,FALSE,FALSE,FALSE,FALSE
7,43.7,253,18.65,108,20.21,117,17.44,101,579,52.47,489.13,21.29,193.54,26.24,237.67,920.34,100,0.000230884,mi8,FALSE,FALSE,FALSE,FALSE
8,67.18,389,9.15,53,4.66,27,19,110,579,73.22,916.86,15.69,197.9,11.09,138.7,1253.46,100,0.000731489,mi8,FALSE,FALSE,FALSE,FALSE
9,27.12,157,5.35,31,1.21,7,66.32,384,579,61.3,2273.76,22.43,791.19,16.27,608.07,3673.02,100,0.000988461,mi8,FALSE,FALSE,FALSE,FALSE
10,45.25,262,0.17,1,1.21,7,53.37,309,579,81.79,2907.72,7.82,266.51,10.38,332.46,3506.69,100,0.00175039,mi8,FALSE,FALSE,FALSE,FALSE
11,18.13,105,3.45,20,16.06,93,62.35,361,579,48.72,572.96,21.06,245.86,30.22,352.1,1170.92,100,0.000368829,mi8,FALSE,FALSE,FALSE,FALSE
12,15.89,92,12.26,71,12.78,74,59.07,342,579,27.77,232.98,35.3,299.74,36.94,309.58,842.3,100,0.000150247,mi8,FALSE,FALSE,FALSE,TRUE
13,46.29,268,9.15,53,8.29,48,36.27,210,579,69.43,643.91,13.43,124.84,17.14,157.88,926.63,100,0.000387815,mi8,FALSE,FALSE,FALSE,FALSE
14,70.98,411,3.45,20,2.76,16,22.8,132,579,86.91,1601.8,7.35,133.9,5.75,105.62,1841.32,100,0.000980468,mi8,FALSE,FALSE,FALSE,FALSE
15,39.21,227,0.17,1,1.73,10,58.89,341,579,66.63,1103.08,15.15,256.35,18.22,302.16,1661.59,100,0.00111888,mi8,FALSE,FALSE,FALSE,FALSE
16,38.86,225,5.01,29,6.91,40,49.22,285,579,74.74,400.18,13.76,72.56,11.5,61.02,533.76,100,0.000600072,mi8,FALSE,FALSE,FALSE,FALSE
17,15.89,92,7.08,41,4.15,24,72.88,422,579,45.19,455.84,29.26,295.21,25.55,255.71,1006.76,100,0.000412468,mi8,TRUE,FALSE,FALSE,FALSE
18,18.31,106,1.55,9,3.28,19,76.86,445,579,54.07,869.57,17.61,279.87,28.32,455.78,1605.22,100,0.000505645,mi8,FALSE,TRUE,FALSE,FALSE
19,15.2,88,5.18,30,11.05,64,68.57,397,579,38.51,395.93,15.65,161.67,45.85,503.23,1060.83,100,0.000366787,mi8,FALSE,FALSE,TRUE,FALSE
20,48.88,283,5.01,29,4.15,24,41.97,243,579,74.17,593.05,14.13,114.2,11.71,94.33,801.58,100,0.000898608,mi8,FALSE,FALSE,FALSE,FALSE
21,25.04,145,12.44,72,9.5,55,53.02,307,579,77.99,563.91,13.87,92.37,8.14,53.75,710.03,100,0.000246005,mi8,FALSE,FALSE,FALSE,FALSE
